Asset,Time Period,Length of Return,Candle Pattern,Value,Avg % Return Following Pattern,Avg % Return In General,Avg Volume Following Pattern,Avg Volume In General,p-value Returns,p-value Volume,Occurrences
SPY,5y,4,Three-Line Strike,-100,2.1975,0.2441,89590275.0,81868248,1.0,1.0,1
SPY,5y,4,Three-Line Strike,-200,,0.2445,,81881474,,,0
SPY,5y,4,Three-Line Strike,100,-1.7734,0.2451,68885350.0,81888706,1.0,1.0,1
SPY,5y,4,Three-Line Strike,200,,0.2445,,81881474,,,0
SPY,5y,4,Three Outside Up/Down,-100,1.0493,0.2175,92179700.0,81659913,0.16,0.25,21
SPY,5y,4,Three Outside Up/Down,100,-0.5413,0.253,78243820.0,81959862,0.08,0.46,20
SPY,5y,4,Three Stars In The South,100,,0.2445,,81881474,,,0
SPY,5y,4,Three Advancing White Soldiers,100,0.6566,0.243,67220106.0,81921849,0.52,0.25,4
SPY,5y,4,Abandoned Baby,-100,,0.2445,,81881474,,,0
SPY,5y,4,Abandoned Baby,100,,0.2445,,81881474,,,0
SPY,5y,4,Advance Block,100,,0.2445,,81881474,,,0
SPY,5y,4,Belt-hold,-100,0.4109,0.238,82452722.0,81790965,0.49,0.83,79
SPY,5y,4,Belt-hold,100,0.3213,0.2473,75441049.0,82467646,0.76,0.02,108
SPY,5y,4,Breakaway,-100,2.3452,0.2421,69953950.0,81883762,1.0,1.0,1
SPY,5y,4,Breakaway,100,,0.2445,,81881474,,,0
SPY,5y,4,Closing Marubozu,-100,0.7512,0.1944,98004697.0,80656197,0.11,0.0,73
SPY,5y,4,Closing Marubozu,100,0.0018,0.28,80668017.0,81995241,0.23,0.69,143
SPY,5y,4,Concealing Baby Swallow,100,,0.2445,,81881474,,,0
SPY,5y,4,Counterattack,-100,0.2592,0.2399,89459250.0,81862492,0.99,0.91,2
SPY,5y,4,Counterattack,100,-0.4059,0.2501,99758338.0,81863232,0.61,0.51,4
SPY,5y,4,Dark Cloud Cover,100,,0.2445,,81881474,,,0
SPY,5y,4,Doji,100,0.3691,0.2194,80065505.0,82247921,0.52,0.5,162
SPY,5y,4,Doji Star,-100,0.7167,0.2384,69382649.0,82140215,0.09,0.03,19
SPY,5y,4,Doji Star,100,0.8684,0.2489,84842953.0,81867430,0.16,0.57,16
SPY,5y,4,Dragonfly Doji,100,-0.1054,0.2446,68362632.0,82147942,0.37,0.0,24
SPY,5y,4,Engulfing Pattern,-100,1.0085,0.206,79505986.0,81945810,0.05,0.63,50
SPY,5y,4,Engulfing Pattern,100,-0.0157,0.255,79525569.0,81961649,0.59,0.57,39
SPY,5y,4,Evening Doji Star,100,,0.2445,,81881474,,,0
SPY,5y,4,Evening Star,100,,0.2445,,81881474,,,0
SPY,5y,4,Up/Down-gap side-by-side white lines,-100,,0.2445,,81881474,,,0
SPY,5y,4,Up/Down-gap side-by-side white lines,100,-0.3719,0.2496,95746044.0,81873380,0.53,0.54,4
SPY,5y,4,Gravestone Doji,100,-0.4577,0.2442,93051755.0,81751408,0.59,0.51,15
SPY,5y,4,Hammer,100,0.25,0.2381,72790282.0,81998377,0.98,0.17,17
SPY,5y,4,Hanging Man,100,,0.2445,,81881474,,,0
SPY,5y,4,Harami Pattern,-100,0.0365,0.2541,82701950.0,81808334,0.55,0.86,52
SPY,5y,4,Harami Pattern,100,0.4617,0.2318,76721300.0,82084709,0.56,0.28,39
SPY,5y,4,Harami Cross Pattern,100,0.7412,0.2412,78242217.0,81942091,0.55,0.66,12
SPY,5y,4,High-Wave Candle,100,0.3519,0.2373,86319119.0,81529584,0.73,0.37,77
SPY,5y,4,Hikkake Pattern,-100,0.3386,0.2447,74439980.0,82262062,0.78,0.08,50
SPY,5y,4,Hikkake Pattern,-200,1.8398,0.231,90484872.0,81813028,0.18,0.5,8
SPY,5y,4,Hikkake Pattern,100,0.1858,0.2374,89204803.0,81664585,0.94,0.39,38
SPY,5y,4,Hikkake Pattern,200,0.2183,0.2471,73974894.0,81994260,0.97,0.39,13
SPY,5y,4,Modified Hikkake Pattern,-100,-1.9517,0.2449,85005575.0,81877391,1.0,1.0,1
SPY,5y,4,Modified Hikkake Pattern,-200,,0.2445,,81881474,,,0
SPY,5y,4,Modified Hikkake Pattern,100,,0.2445,,81881474,,,0
SPY,5y,4,Modified Hikkake Pattern,200,,0.2445,,81881474,,,0
SPY,5y,4,Homing Pigeon,100,0.3754,0.2411,73439656.0,81987947,0.85,0.19,16
SPY,5y,4,Identical Three Crows,100,,0.2445,,81881474,,,0
SPY,5y,4,In-Neck Pattern,-100,-1.7444,0.253,108954569.0,81840885,0.18,0.29,4
SPY,5y,4,In-Neck Pattern,100,,0.2445,,81881474,,,0
SPY,5y,4,Inverted Hammer,100,-0.2668,0.233,87026702.0,81774931,0.54,0.6,26
SPY,5y,4,Kicking,-100,,0.2445,,81881474,,,0
SPY,5y,4,Kicking,100,,0.2445,,81881474,,,0
SPY,5y,4,Kicking - bull/bear determined by the longer marubozu,-100,,0.2445,,81881474,,,0
SPY,5y,4,Kicking - bull/bear determined by the longer marubozu,100,,0.2445,,81881474,,,0
SPY,5y,4,Ladder Bottom,100,3.3266,0.2419,92871500.0,81850356,0.03,0.17,2
SPY,5y,4,Long Legged Doji,100,0.3691,0.2194,80065505.0,82247921,0.52,0.5,162
SPY,5y,4,Long Line Candle,-100,0.6989,0.196,87428436.0,81260066,0.05,0.13,100
SPY,5y,4,Long Line Candle,-200,,0.2445,,81881474,,,0
SPY,5y,4,Long Line Candle,100,0.2814,0.2452,75207551.0,82939052,0.84,0.0,171
SPY,5y,4,Long Line Candle,200,,0.2445,,81881474,,,0
SPY,5y,4,Marubozu,-100,1.2296,0.2268,90914740.0,81653767,0.06,0.17,22
SPY,5y,4,Marubozu,-200,,0.2445,,81881474,,,0
SPY,5y,4,Marubozu,100,0.364,0.2465,78418385.0,81974486,0.78,0.53,46
SPY,5y,4,Marubozu,200,,0.2445,,81881474,,,0
SPY,5y,4,Matching Low,100,-0.3696,0.2475,64670736.0,82075188,0.23,0.0,14
SPY,5y,4,Mat Hold,-100,,0.2445,,81881474,,,0
SPY,5y,4,Mat Hold,100,,0.2445,,81881474,,,0
SPY,5y,4,Morning Doji Star,100,1.6152,0.244,109058475.0,81863260,1.0,1.0,1
SPY,5y,4,Morning Star,100,1.0627,0.2399,106919954.0,81744288,0.35,0.3,6
SPY,5y,4,On-Neck Pattern,-100,-1.1211,0.2455,86300558.0,81883879,0.44,0.69,3
SPY,5y,4,On-Neck Pattern,100,,0.2445,,81881474,,,0
SPY,5y,4,Piercing Pattern,100,1.3348,0.2351,85236697.0,81813845,0.1,0.73,8
SPY,5y,4,Rickshaw Man,100,0.6313,0.2121,77988980.0,82347323,0.07,0.15,118
SPY,5y,4,Rising/Falling Three Methods,-100,,0.2445,,81881474,,,0
SPY,5y,4,Rising/Falling Three Methods,100,,0.2445,,81881474,,,0
SPY,5y,4,Separating Lines,-100,0.2272,0.2445,100582250.0,81852773,1.0,1.0,1
SPY,5y,4,Separating Lines,100,1.0941,0.2429,82128238.0,81884286,0.35,0.99,2
SPY,5y,4,Shooting Star,100,,0.2445,,81881474,,,0
SPY,5y,4,Short Line Candle,100,0.194,0.2618,74102495.0,82628060,0.75,0.0,96
SPY,5y,4,Spinning Top,100,0.2088,0.2439,83297986.0,81708734,0.89,0.67,127
SPY,5y,4,Stalled Pattern,100,,0.2445,,81881474,,,0
SPY,5y,4,Stick Sandwich,100,0.0325,0.2447,111377725.0,81832068,0.93,0.16,2
SPY,5y,4,Takuri (Dragonfly Doji with very long lower shadow),100,-0.109,0.2437,68023910.0,82140484,0.39,0.0,23
SPY,5y,4,Tasuki Gap,-100,2.3698,0.244,85350350.0,81879472,1.0,1.0,1
SPY,5y,4,Tasuki Gap,100,-0.1854,0.2411,81238506.0,81894864,0.66,0.93,8
SPY,5y,4,Thrusting Pattern,-100,1.0096,0.2434,87333700.0,81846543,0.33,0.66,10
SPY,5y,4,Thrusting Pattern,100,,0.2445,,81881474,,,0
SPY,5y,4,Tristar Pattern,-100,0.3901,0.2439,76106875.0,81888140,1.0,1.0,1
SPY,5y,4,Tristar Pattern,100,0.4316,0.2444,48105725.0,81911772,1.0,1.0,1
SPY,5y,4,Unique 3 River,100,-3.9347,0.2465,94737000.0,81880497,1.0,1.0,1
SPY,5y,4,Upside Gap Two Crows,100,,0.2445,,81881474,,,0
SPY,5y,4,Upside/Downside Gap Three Methods,-100,-0.1148,0.2417,77577725.0,81868508,0.85,0.64,4
SPY,5y,4,Upside/Downside Gap Three Methods,100,2.0722,0.244,80515600.0,81874213,1.0,1.0,1
SPY,5y,5,Two Crows,100,,0.2445,,81881474,,,0
SPY,5y,5,Three Black Crows,100,,0.2445,,81881474,,,0
SPY,5y,5,Three Inside Up/Down,-100,1.2677,0.3017,87518664.0,81793696,0.31,0.51,15
SPY,5y,5,Three Inside Up/Down,100,0.9611,0.305,74976125.0,81987228,0.04,0.48,12
SPY,5y,5,Three-Line Strike,-100,4.6276,0.3052,97879900.0,81904555,1.0,1.0,1
SPY,5y,5,Three-Line Strike,-200,,0.3049,,81916139,,,0
SPY,5y,5,Three-Line Strike,100,-2.2257,0.3058,75118740.0,81924769,1.0,1.0,1
SPY,5y,5,Three-Line Strike,200,,0.3049,,81916139,,,0
SPY,5y,5,Three Outside Up/Down,-100,1.0959,0.2788,91340938.0,81718666,0.17,0.27,21
SPY,5y,5,Three Outside Up/Down,100,-0.7325,0.3178,79565087.0,81979039,0.05,0.64,20
SPY,5y,5,Three Stars In The South,100,,0.3049,,81916139,,,0
SPY,5y,5,Three Advancing White Soldiers,100,1.1565,0.3038,66678765.0,81958228,0.21,0.23,4
SPY,5y,5,Abandoned Baby,-100,,0.3049,,81916139,,,0
SPY,5y,5,Abandoned Baby,100,,0.3049,,81916139,,,0
SPY,5y,5,Advance Block,100,,0.3049,,81916139,,,0
SPY,5y,5,Belt-hold,-100,0.7437,0.2986,81986673.0,81844060,0.09,0.96,79
SPY,5y,5,Belt-hold,100,0.2825,0.3027,75503086.0,82489127,0.93,0.02,108
SPY,5y,5,Breakaway,-100,2.5317,0.3027,67738300.0,81920522,1.0,1.0,1
SPY,5y,5,Breakaway,100,,0.3049,,81916139,,,0
SPY,5y,5,Closing Marubozu,-100,0.9221,0.2578,97026988.0,80773820,0.13,0.0,73
SPY,5y,5,Closing Marubozu,100,-0.0743,0.3429,80811547.0,82023958,0.11,0.72,143
SPY,5y,5,Concealing Baby Swallow,100,,0.3049,,81916139,,,0
SPY,5y,5,Counterattack,-100,0.4831,0.302,89474050.0,81902117,0.92,0.9,2
SPY,5y,5,Counterattack,100,-1.3605,0.3085,105446945.0,81875522,0.31,0.37,4
SPY,5y,5,Dark Cloud Cover,100,,0.3049,,81916139,,,0
SPY,5y,5,Doji,100,0.4464,0.2701,79932228.0,82266205,0.41,0.46,162
SPY,5y,5,Doji Star,-100,0.4116,0.2969,70649915.0,82143911,0.74,0.05,19
SPY,5y,5,Doji Star,100,0.831,0.2975,83767209.0,81884142,0.38,0.71,16
SPY,5y,5,Dragonfly Doji,100,0.0106,0.3086,69551984.0,82182939,0.54,0.01,24
SPY,5y,5,Engulfing Pattern,-100,1.0794,0.2742,79258612.0,81982348,0.08,0.56,50
SPY,5y,5,Engulfing Pattern,100,-0.0651,0.3179,80656222.0,82010435,0.46,0.74,39
SPY,5y,5,Evening Doji Star,100,,0.3049,,81916139,,,0
SPY,5y,5,Evening Star,100,,0.3049,,81916139,,,0
SPY,5y,5,Up/Down-gap side-by-side white lines,-100,,0.3049,,81916139,,,0
SPY,5y,5,Up/Down-gap side-by-side white lines,100,0.325,0.3089,92122585.0,81887694,0.98,0.63,4
SPY,5y,5,Gravestone Doji,100,-0.0727,0.3132,90168928.0,81794595,0.69,0.61,15
SPY,5y,5,Hammer,100,0.0489,0.2991,72142841.0,82042966,0.66,0.12,17
SPY,5y,5,Hanging Man,100,,0.3049,,81916139,,,0
SPY,5y,5,Harami Pattern,-100,0.3796,0.3204,82922020.0,81883008,0.89,0.83,52
SPY,5y,5,Harami Pattern,100,0.3345,0.2927,76982187.0,82101230,0.92,0.3,39
SPY,5y,5,Harami Cross Pattern,100,0.1802,0.2992,79450000.0,81974946,0.91,0.77,12
SPY,5y,5,High-Wave Candle,100,0.5029,0.2922,86219774.0,81592119,0.53,0.37,77
SPY,5y,5,Hikkake Pattern,-100,0.4678,0.2947,74319480.0,82285037,0.63,0.07,50
SPY,5y,5,Hikkake Pattern,-200,2.7965,0.2888,89976560.0,81861600,0.08,0.56,8
SPY,5y,5,Hikkake Pattern,100,0.6607,0.3141,88178255.0,81674689,0.61,0.45,38
SPY,5y,5,Hikkake Pattern,200,0.0652,0.303,74881291.0,82009414,0.83,0.52,13
SPY,5y,5,Modified Hikkake Pattern,-100,-1.0857,0.306,86196780.0,81911727,1.0,1.0,1
SPY,5y,5,Modified Hikkake Pattern,-200,,0.3049,,81916139,,,0
SPY,5y,5,Modified Hikkake Pattern,100,,0.3049,,81916139,,,0
SPY,5y,5,Modified Hikkake Pattern,200,,0.3049,,81916139,,,0
SPY,5y,5,Homing Pigeon,100,0.0783,0.3015,73822085.0,82025018,0.77,0.2,16
SPY,5y,5,Identical Three Crows,100,,0.3049,,81916139,,,0
SPY,5y,5,In-Neck Pattern,-100,-3.2175,0.3114,111176630.0,81848739,0.12,0.25,4
SPY,5y,5,In-Neck Pattern,100,,0.3049,,81916139,,,0
SPY,5y,5,Inverted Hammer,100,0.3606,0.3073,85379697.0,81823317,0.94,0.71,26
SPY,5y,5,Kicking,-100,,0.3049,,81916139,,,0
SPY,5y,5,Kicking,100,,0.3049,,81916139,,,0
SPY,5y,5,Kicking - bull/bear determined by the longer marubozu,-100,,0.3049,,81916139,,,0
SPY,5y,5,Kicking - bull/bear determined by the longer marubozu,100,,0.3049,,81916139,,,0
SPY,5y,5,Ladder Bottom,100,5.3428,0.3023,93421680.0,81893289,0.12,0.08,2
SPY,5y,5,Long Legged Doji,100,0.4464,0.2701,79932228.0,82266205,0.41,0.46,162
SPY,5y,5,Long Line Candle,-100,0.9452,0.2615,86996942.0,81330445,0.02,0.14,100
SPY,5y,5,Long Line Candle,-200,,0.3049,,81916139,,,0
SPY,5y,5,Long Line Candle,100,0.2281,0.3005,75468838.0,82919643,0.7,0.0,171
SPY,5y,5,Long Line Candle,200,,0.3049,,81916139,,,0
SPY,5y,5,Marubozu,-100,1.6773,0.2837,89991435.0,81715103,0.01,0.2,22
SPY,5y,5,Marubozu,-200,,0.3049,,81916139,,,0
SPY,5y,5,Marubozu,100,0.3346,0.3049,78228847.0,82023274,0.94,0.47,46
SPY,5y,5,Marubozu,200,,0.3049,,81916139,,,0
SPY,5y,5,Matching Low,100,-0.3647,0.3079,64395463.0,82113878,0.18,0.0,14
SPY,5y,5,Mat Hold,-100,,0.3049,,81916139,,,0
SPY,5y,5,Mat Hold,100,,0.3049,,81916139,,,0
SPY,5y,5,Morning Doji Star,100,1.3499,0.3045,102499220.0,81897394,1.0,1.0,1
SPY,5y,5,Morning Star,100,0.2258,0.3008,103168153.0,81793645,0.84,0.37,6
SPY,5y,5,On-Neck Pattern,-100,-2.3024,0.3056,84729973.0,81913507,0.35,0.8,3
SPY,5y,5,On-Neck Pattern,100,,0.3049,,81916139,,,0
SPY,5y,5,Piercing Pattern,100,1.4119,0.2949,83498712.0,81869836,0.15,0.86,8
SPY,5y,5,Rickshaw Man,100,0.6483,0.2547,78182101.0,82363800,0.08,0.16,118
SPY,5y,5,Rising/Falling Three Methods,-100,,0.3049,,81916139,,,0
SPY,5y,5,Rising/Falling Three Methods,100,,0.3049,,81916139,,,0
SPY,5y,5,Separating Lines,-100,2.4262,0.3056,101709620.0,81890976,1.0,1.0,1
SPY,5y,5,Separating Lines,100,0.5592,0.3038,80271780.0,81919167,0.8,0.95,2
SPY,5y,5,Shooting Star,100,,0.3049,,81916139,,,0
SPY,5y,5,Short Line Candle,100,0.2046,0.322,75101961.0,82641520,0.58,0.0,96
SPY,5y,5,Spinning Top,100,0.2486,0.2956,83507233.0,81757919,0.86,0.63,127
SPY,5y,5,Stalled Pattern,100,,0.3049,,81916139,,,0
SPY,5y,5,Stick Sandwich,100,1.1231,0.3063,107356230.0,81873499,0.6,0.01,2
SPY,5y,5,Takuri (Dragonfly Doji with very long lower shadow),100,-0.0139,0.3082,68988064.0,82174382,0.52,0.01,23
SPY,5y,5,Tasuki Gap,-100,2.0404,0.3037,79204780.0,81913715,1.0,1.0,1
SPY,5y,5,Tasuki Gap,100,0.5924,0.3044,77908200.0,81925218,0.73,0.58,8
SPY,5y,5,Thrusting Pattern,-100,1.0208,0.301,88443086.0,81872564,0.36,0.56,10
SPY,5y,5,Thrusting Pattern,100,,0.3049,,81916139,,,0
SPY,5y,5,Tristar Pattern,-100,0.3703,0.3048,74844200.0,81923014,1.0,1.0,1
SPY,5y,5,Tristar Pattern,100,-0.4642,0.3046,53018340.0,81943352,1.0,1.0,1
SPY,5y,5,Unique 3 River,100,-2.9163,0.3079,88512020.0,81912578,1.0,1.0,1
SPY,5y,5,Upside Gap Two Crows,100,,0.3049,,81916139,,,0
SPY,5y,5,Upside/Downside Gap Three Methods,-100,-0.4752,0.3021,78519000.0,81918433,0.71,0.65,4
SPY,5y,5,Upside/Downside Gap Three Methods,100,2.6577,0.3033,78380480.0,81911054,1.0,1.0,1
SPY,5y,6,Two Crows,100,,0.3049,,81916139,,,0
SPY,5y,6,Three Black Crows,100,,0.3049,,81916139,,,0
SPY,5y,6,Three Inside Up/Down,-100,0.9039,0.3601,87308686.0,81844701,0.54,0.51,15
SPY,5y,6,Three Inside Up/Down,100,0.9028,0.363,74809969.0,82014671,0.3,0.45,12
SPY,5y,6,Three-Line Strike,-100,5.8513,0.3634,95806067.0,81927554,1.0,1.0,1
SPY,5y,6,Three-Line Strike,-200,,0.365,,81943738,,,0
SPY,5y,6,Three-Line Strike,100,-1.3528,0.3663,72325200.0,81948542,1.0,1.0,1
SPY,5y,6,Three-Line Strike,200,,0.365,,81943738,,,0
SPY,5y,6,Three Outside Up/Down,-100,1.1157,0.3391,89733718.0,81762257,0.19,0.33,21
SPY,5y,6,Three Outside Up/Down,100,-0.641,0.382,80212986.0,81988707,0.03,0.74,20
SPY,5y,6,Three Stars In The South,100,,0.365,,81943738,,,0
SPY,5y,6,Three Advancing White Soldiers,100,1.4139,0.3625,65699292.0,81988225,0.31,0.19,4
SPY,5y,6,Abandoned Baby,-100,,0.365,,81943738,,,0
SPY,5y,6,Abandoned Baby,100,,0.365,,81943738,,,0
SPY,5y,6,Advance Block,100,,0.365,,81943738,,,0
SPY,5y,6,Belt-hold,-100,0.9305,0.3403,81396804.0,81905613,0.04,0.86,79
SPY,5y,6,Belt-hold,100,0.4269,0.372,75715151.0,82520242,0.84,0.02,108
SPY,5y,6,Breakaway,-100,2.0995,0.3627,65642950.0,81950485,1.0,1.0,1
SPY,5y,6,Breakaway,100,,0.365,,81943738,,,0
SPY,5y,6,Closing Marubozu,-100,0.8458,0.3109,96620861.0,80877128,0.27,0.0,73
SPY,5y,6,Closing Marubozu,100,0.2034,0.4206,80701826.0,82048627,0.42,0.68,143
SPY,5y,6,Concealing Baby Swallow,100,,0.365,,81943738,,,0
SPY,5y,6,Counterattack,-100,1.9885,0.3618,89300000.0,81930057,0.65,0.91,2
SPY,5y,6,Counterattack,100,-1.2801,0.3719,109479175.0,81885227,0.39,0.3,4
SPY,5y,6,Dark Cloud Cover,100,,0.365,,81943738,,,0
SPY,5y,6,Doji,100,0.4834,0.3276,79759038.0,82302178,0.54,0.42,162
SPY,5y,6,Doji Star,-100,0.2961,0.3626,70415545.0,82150043,0.86,0.04,19
SPY,5y,6,Doji Star,100,0.6501,0.3588,83180642.0,81922699,0.65,0.8,16
SPY,5y,6,Dragonfly Doji,100,0.3041,0.3676,69780426.0,82191569,0.9,0.01,24
SPY,5y,6,Engulfing Pattern,-100,1.0658,0.3338,79035665.0,82025390,0.11,0.51,50
SPY,5y,6,Engulfing Pattern,100,-0.0797,0.3815,81621703.0,82005786,0.49,0.92,39
SPY,5y,6,Evening Doji Star,100,,0.365,,81943738,,,0
SPY,5y,6,Evening Star,100,,0.365,,81943738,,,0
SPY,5y,6,Up/Down-gap side-by-side white lines,-100,,0.365,,81943738,,,0
SPY,5y,6,Up/Down-gap side-by-side white lines,100,0.0532,0.367,91488221.0,81922394,0.68,0.66,4
SPY,5y,6,Gravestone Doji,100,-0.404,0.3693,91293706.0,81849330,0.55,0.57,15
SPY,5y,6,Hammer,100,0.4279,0.3628,72738843.0,82078255,0.91,0.13,17
SPY,5y,6,Hanging Man,100,,0.365,,81943738,,,0
SPY,5y,6,Harami Pattern,-100,0.4668,0.3683,82496329.0,81903680,0.84,0.9,52
SPY,5y,6,Harami Pattern,100,0.3808,0.3588,76662642.0,82119842,0.96,0.27,39
SPY,5y,6,Harami Cross Pattern,100,0.4039,0.3653,79428128.0,81989236,0.97,0.77,12
SPY,5y,6,High-Wave Candle,100,0.4722,0.3463,85604222.0,81632636,0.74,0.43,77
SPY,5y,6,Hikkake Pattern,-100,0.7379,0.3519,73949276.0,82308565,0.28,0.05,50
SPY,5y,6,Hikkake Pattern,-200,2.846,0.3432,87635273.0,81891969,0.05,0.65,8
SPY,5y,6,Hikkake Pattern,100,0.2155,0.3612,87542931.0,81731980,0.86,0.49,38
SPY,5y,6,Hikkake Pattern,200,-0.4329,0.3654,77430862.0,82027781,0.48,0.73,13
SPY,5y,6,Modified Hikkake Pattern,-100,0.2094,0.3654,87468983.0,81938875,1.0,1.0,1
SPY,5y,6,Modified Hikkake Pattern,-200,,0.365,,81943738,,,0
SPY,5y,6,Modified Hikkake Pattern,100,,0.365,,81943738,,,0
SPY,5y,6,Modified Hikkake Pattern,200,,0.365,,81943738,,,0
SPY,5y,6,Homing Pigeon,100,0.41,0.3662,73182978.0,82049064,0.95,0.16,16
SPY,5y,6,Identical Three Crows,100,,0.365,,81943738,,,0
SPY,5y,6,In-Neck Pattern,-100,-2.9774,0.3764,115322383.0,81867236,0.18,0.2,4
SPY,5y,6,In-Neck Pattern,100,,0.365,,81943738,,,0
SPY,5y,6,Inverted Hammer,100,0.0507,0.3554,86208632.0,81877952,0.72,0.66,26
SPY,5y,6,Kicking,-100,,0.365,,81943738,,,0
SPY,5y,6,Kicking,100,,0.365,,81943738,,,0
SPY,5y,6,Kicking - bull/bear determined by the longer marubozu,-100,,0.365,,81943738,,,0
SPY,5y,6,Kicking - bull/bear determined by the longer marubozu,100,,0.365,,81943738,,,0
SPY,5y,6,Ladder Bottom,100,4.7703,0.3593,89061242.0,81921070,0.16,0.13,2
SPY,5y,6,Long Legged Doji,100,0.4834,0.3276,79759038.0,82302178,0.54,0.42,162
SPY,5y,6,Long Line Candle,-100,0.8853,0.3054,86678629.0,81409095,0.07,0.15,100
SPY,5y,6,Long Line Candle,-200,,0.365,,81943738,,,0
SPY,5y,6,Long Line Candle,100,0.4439,0.3784,75313811.0,82926561,0.75,0.0,171
SPY,5y,6,Long Line Candle,200,,0.365,,81943738,,,0
SPY,5y,6,Marubozu,-100,1.7548,0.3368,89681833.0,81763502,0.02,0.21,22
SPY,5y,6,Marubozu,-200,,0.365,,81943738,,,0
SPY,5y,6,Marubozu,100,0.5001,0.3684,78348723.0,82062404,0.79,0.47,46
SPY,5y,6,Marubozu,200,,0.365,,81943738,,,0
SPY,5y,6,Matching Low,100,-0.1367,0.3686,63986857.0,82144063,0.17,0.0,14
SPY,5y,6,Mat Hold,-100,,0.365,,81943738,,,0
SPY,5y,6,Mat Hold,100,,0.365,,81943738,,,0
SPY,5y,6,Morning Doji Star,100,1.7552,0.3649,104205050.0,81928880,1.0,1.0,1
SPY,5y,6,Morning Star,100,1.0523,0.3652,101629267.0,81836699,0.2,0.39,6
SPY,5y,6,On-Neck Pattern,-100,-1.76,0.3687,84584172.0,81942998,0.45,0.83,3
SPY,5y,6,On-Neck Pattern,100,,0.365,,81943738,,,0
SPY,5y,6,Piercing Pattern,100,0.8611,0.3549,84020650.0,81911054,0.67,0.82,8
SPY,5y,6,Rickshaw Man,100,0.6889,0.3192,77855945.0,82371351,0.17,0.12,118
SPY,5y,6,Rising/Falling Three Methods,-100,,0.365,,81943738,,,0
SPY,5y,6,Rising/Falling Three Methods,100,,0.365,,81943738,,,0
SPY,5y,6,Separating Lines,-100,4.6437,0.364,108917150.0,81919536,1.0,1.0,1
SPY,5y,6,Separating Lines,100,0.7781,0.3648,79191708.0,81948726,0.75,0.93,2
SPY,5y,6,Shooting Star,100,,0.365,,81943738,,,0
SPY,5y,6,Short Line Candle,100,0.2515,0.3857,74904902.0,82576716,0.58,0.0,96
SPY,5y,6,Spinning Top,100,0.2529,0.3579,83238375.0,81769203,0.72,0.67,127
SPY,5y,6,Stalled Pattern,100,,0.365,,81943738,,,0
SPY,5y,6,Stick Sandwich,100,2.163,0.3648,102677950.0,81905726,0.37,0.02,2
SPY,5y,6,Takuri (Dragonfly Doji with very long lower shadow),100,0.2277,0.3676,69326115.0,82187927,0.79,0.01,23
SPY,5y,6,Tasuki Gap,-100,2.3303,0.3641,76466467.0,81945374,1.0,1.0,1
SPY,5y,6,Tasuki Gap,100,0.8879,0.3599,76659392.0,81970061,0.63,0.47,8
SPY,5y,6,Thrusting Pattern,-100,1.0999,0.3615,89652953.0,81892905,0.41,0.48,10
SPY,5y,6,Thrusting Pattern,100,,0.365,,81943738,,,0
SPY,5y,6,Tristar Pattern,-100,-0.0326,0.3649,73890950.0,81951109,1.0,1.0,1
SPY,5y,6,Tristar Pattern,100,-0.422,0.3654,50531583.0,81967687,1.0,1.0,1
SPY,5y,6,Unique 3 River,100,-5.2354,0.3672,89278717.0,81943229,1.0,1.0,1
SPY,5y,6,Upside Gap Two Crows,100,,0.365,,81943738,,,0
SPY,5y,6,Upside/Downside Gap Three Methods,-100,-0.4436,0.3635,78226725.0,81945543,0.72,0.54,4
SPY,5y,6,Upside/Downside Gap Three Methods,100,4.0672,0.363,83994167.0,81941128,1.0,1.0,1
SPY,5y,7,Two Crows,100,,0.365,,81943738,,,0
SPY,5y,7,Three Black Crows,100,,0.365,,81943738,,,0
SPY,5y,7,Three Inside Up/Down,-100,0.9083,0.4249,86682414.0,81875533,0.64,0.53,15
SPY,5y,7,Three Inside Up/Down,100,1.0394,0.4238,75420862.0,82039782,0.27,0.48,12
SPY,5y,7,Three-Line Strike,-100,7.4481,0.4222,93383243.0,81953418,1.0,1.0,1
SPY,5y,7,Three-Line Strike,-200,,0.4247,,81967681,,,0
SPY,5y,7,Three-Line Strike,100,-1.7877,0.4254,72187500.0,81974516,1.0,1.0,1
SPY,5y,7,Three-Line Strike,200,,0.4247,,81967681,,,0
SPY,5y,7,Three Outside Up/Down,-100,0.9297,0.3995,88949440.0,81813008,0.46,0.37,21
SPY,5y,7,Three Outside Up/Down,100,-0.7864,0.4412,80830138.0,82003144,0.04,0.83,20
SPY,5y,7,Three Stars In The South,100,,0.4247,,81967681,,,0
SPY,5y,7,Three Advancing White Soldiers,100,1.4684,0.4215,64266446.0,82015608,0.24,0.15,4
SPY,5y,7,Abandoned Baby,-100,,0.4247,,81967681,,,0
SPY,5y,7,Abandoned Baby,100,,0.4247,,81967681,,,0
SPY,5y,7,Advance Block,100,,0.4247,,81967681,,,0
SPY,5y,7,Belt-hold,-100,1.0475,0.3914,80316828.0,81970256,0.03,0.55,79
SPY,5y,7,Belt-hold,100,0.4821,0.4238,76149651.0,82533555,0.84,0.02,108
SPY,5y,7,Breakaway,-100,1.4272,0.4228,66373743.0,81976548,1.0,1.0,1
SPY,5y,7,Breakaway,100,,0.4247,,81967681,,,0
