Asset,Time Period,Length of Return,Candle Pattern,Value,Avg % Return Following Pattern,Avg % Return In General,Avg Volume Following Pattern,Avg Volume In General,p-value Returns,p-value Volume,Occurrences
SPY,5y,1,Long Legged Doji,100,-0.0118,0.0456,78649997.0,82387869,0.57,0.3,162
SPY,5y,1,Long Line Candle,-100,0.2518,0.0578,90128386.0,80735962,0.21,0.04,100
SPY,5y,1,Long Line Candle,-200,,0.0617,,81761916,,,0
SPY,5y,1,Long Line Candle,100,0.1147,0.0631,74098529.0,82586899,0.6,0.0,171
SPY,5y,1,Long Line Candle,200,,0.0617,,81761916,,,0
SPY,5y,1,Marubozu,-100,0.7104,0.058,94625268.0,81398442,0.02,0.16,22
SPY,5y,1,Marubozu,-200,,0.0617,,81761916,,,0
SPY,5y,1,Marubozu,100,0.4606,0.0663,78222124.0,81758514,0.11,0.57,46
SPY,5y,1,Marubozu,200,,0.0617,,81761916,,,0
SPY,5y,1,Matching Low,100,0.0547,0.0577,67932293.0,81968748,0.99,0.11,14
SPY,5y,1,Mat Hold,-100,,0.0617,,81761916,,,0
SPY,5y,1,Mat Hold,100,,0.0617,,81761916,,,0
SPY,5y,1,Morning Doji Star,100,-0.5083,0.0623,97588600.0,81754811,1.0,1.0,1
SPY,5y,1,Morning Star,100,0.6422,0.0615,109040900.0,81630356,0.6,0.42,6
SPY,5y,1,On-Neck Pattern,-100,-0.4003,0.0591,62624900.0,81790386,0.25,0.03,3
SPY,5y,1,On-Neck Pattern,100,,0.0617,,81761916,,,0
SPY,5y,1,Piercing Pattern,100,0.4739,0.0587,91728162.0,81615232,0.35,0.43,8
SPY,5y,1,Rickshaw Man,100,0.031,0.0518,78237086.0,82348972,0.85,0.28,118
SPY,5y,1,Rising/Falling Three Methods,-100,,0.0617,,81761916,,,0
SPY,5y,1,Rising/Falling Three Methods,100,,0.0617,,81761916,,,0
SPY,5y,1,Separating Lines,-100,2.6811,0.0623,116990800.0,81695825,1.0,1.0,1
SPY,5y,1,Separating Lines,100,-0.0185,0.0619,75217850.0,81778114,0.9,0.82,2
SPY,5y,1,Shooting Star,100,,0.0617,,81761916,,,0
SPY,5y,1,Short Line Candle,100,0.0021,0.0744,72399463.0,82949565,0.54,0.0,96
SPY,5y,1,Spinning Top,100,-0.1591,0.0484,85313545.0,81577506,0.11,0.41,127
SPY,5y,1,Stalled Pattern,100,,0.0617,,81761916,,,0
SPY,5y,1,Stick Sandwich,100,1.0625,0.0627,116513950.0,81736953,0.29,0.0,2
SPY,5y,1,Takuri (Dragonfly Doji with very long lower shadow),100,0.0756,0.0583,61739491.0,82010349,0.91,0.0,23
SPY,5y,1,Tasuki Gap,-100,1.0211,0.0622,57550400.0,81760649,1.0,1.0,1
SPY,5y,1,Tasuki Gap,100,0.2061,0.0584,73375488.0,81788819,0.64,0.2,8
SPY,5y,1,Thrusting Pattern,-100,-0.2475,0.0639,91592110.0,81717281,0.42,0.45,10
SPY,5y,1,Thrusting Pattern,100,,0.0617,,81761916,,,0
SPY,5y,1,Tristar Pattern,-100,-0.0703,0.0616,63146000.0,81777559,1.0,1.0,1
SPY,5y,1,Tristar Pattern,100,-0.2206,0.0615,38428600.0,81789748,1.0,1.0,1
SPY,5y,1,Unique 3 River,100,-0.3969,0.0613,82096000.0,81784879,1.0,1.0,1
SPY,5y,1,Upside Gap Two Crows,100,,0.0617,,81761916,,,0
SPY,5y,1,Upside/Downside Gap Three Methods,-100,0.239,0.0577,80771900.0,81717459,0.68,0.95,4
SPY,5y,1,Upside/Downside Gap Three Methods,100,0.6562,0.0615,107682400.0,81731989,1.0,1.0,1
SPY,5y,2,Two Crows,100,,0.0617,,81761916,,,0
SPY,5y,2,Three Black Crows,100,,0.0617,,81761916,,,0
SPY,5y,2,Three Inside Up/Down,-100,0.454,0.1286,95766457.0,81579941,0.58,0.13,15
SPY,5y,2,Three Inside Up/Down,100,0.2838,0.1262,71193767.0,81910739,0.73,0.23,12
SPY,5y,2,Three-Line Strike,-100,3.7447,0.1222,95165550.0,81782741,1.0,1.0,1
